,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
0,Sarkand,91,KZ,1586642392,36,45.41,79.92,47.91,4.14
1,Jamestown,1,US,1586642384,48,42.1,-79.24,48.0,14.99
2,New Norfolk,75,AU,1586642394,57,-42.78,147.06,52.0,13.87
3,Port Alfred,77,ZA,1586642200,90,-33.59,26.89,68.0,4.0
4,Saint-Pierre,40,RE,1586642297,73,-21.34,55.48,75.2,3.36
5,Zyryanka,5,RU,1586642398,95,65.75,150.85,20.77,11.59
6,Hambantota,26,LK,1586642399,81,6.12,81.12,80.82,10.56
7,Bluff,100,NZ,1586642173,64,-46.6,168.33,57.99,4.0
8,Coyhaique,40,CL,1586642192,57,-45.58,-72.07,50.0,8.05
9,Qaanaaq,91,GL,1586642179,75,77.48,-69.36,14.05,2.35
10,Bakchar,5,RU,1586642404,98,57.02,82.07,30.13,4.45
11,Upernavik,100,GL,1586642365,89,72.79,-56.15,20.88,0.98
12,Vaini,20,TO,1586642167,69,-21.2,-175.2,78.8,4.7
13,Peleduy,65,RU,1586642408,95,59.63,112.74,26.91,3.89
14,Mehamn,85,NO,1586642384,92,71.04,27.85,20.98,4.47
15,Mar del Plata,37,AR,1586642203,60,-38.0,-57.56,68.0,9.17
16,Senneterre,40,CA,1586642412,32,48.38,-77.23,39.2,11.41
17,Miyang,97,CN,1586642414,51,24.4,103.44,58.95,4.47
18,Arraial do Cabo,75,BR,1586642415,83,-22.97,-42.03,71.6,5.82
19,Broome,20,US,1586642187,33,42.25,-75.83,48.0,11.41
20,Ribeira Grande,0,PT,1586642417,71,38.52,-28.7,62.6,7.74
21,Talnakh,75,RU,1586642163,80,69.49,88.4,35.6,31.32
22,Tasiilaq,72,GL,1586642183,39,65.61,-37.64,30.2,13.87
23,Turukhansk,100,RU,1586642225,94,65.82,87.98,34.59,18.48
24,Chipinge,56,ZW,1586642422,66,-20.19,32.62,59.77,2.33
25,Saint Paul Harbor,90,US,1586642424,75,57.79,-152.41,41.0,16.11
26,Palana,0,RU,1586642425,90,59.12,159.97,12.76,4.5
27,Oranjemund,27,NA,1586642211,92,-28.55,16.43,59.38,1.83
28,Atuona,64,PF,1586642213,68,-9.8,-139.03,82.8,7.47
29,Aksu,99,CN,1586642288,20,41.12,80.26,57.85,2.48
30,Albany,40,US,1586642161,31,42.6,-73.97,48.99,17.22
31,Dikson,100,RU,1586642431,96,73.51,80.55,14.29,10.11
32,Busselton,96,AU,1586642432,69,-33.65,115.33,71.01,8.14
33,Comodoro Rivadavia,0,AR,1586642289,33,-45.87,-67.5,62.6,14.99
34,Mataura,100,NZ,1586642435,65,-46.19,168.86,57.99,3.0
35,Lebu,0,CL,1586642436,55,-37.62,-73.65,57.85,16.91
36,Ushuaia,75,AR,1586642232,75,-54.8,-68.3,42.8,26.4
37,Colac,79,AU,1586642439,98,-38.33,143.58,53.01,1.01
38,Kapaa,90,US,1586642440,69,22.08,-159.32,78.8,4.7
39,Yellowknife,40,CA,1586642208,57,62.46,-114.35,19.0,16.11
40,Beringovskiy,98,RU,1586642218,94,63.05,179.32,11.26,10.49
41,Pisco,0,PE,1586642444,30,-13.7,-76.22,75.99,5.82
42,Honningsvåg,98,NO,1586642445,91,70.98,25.97,30.42,6.6
43,College,75,US,1586642447,41,64.86,-147.8,41.0,6.93
44,Thompson,90,CA,1586642412,79,55.74,-97.86,24.8,11.41
45,Zeya,0,RU,1586642449,83,53.75,127.27,33.19,4.16
46,Hermanus,100,ZA,1586642451,65,-34.42,19.23,70.0,10.0
47,Bilibino,92,RU,1586642452,90,68.05,166.44,10.0,1.25
48,Rikitea,78,PF,1586642344,74,-23.12,-134.97,77.04,1.34
49,Chokurdakh,99,RU,1586642454,98,70.63,147.92,27.21,13.85
50,Saint George,1,US,1586642191,34,37.1,-113.58,66.2,14.99
51,Soyo,98,AO,1586642457,86,-6.13,12.37,80.62,4.23
52,Hilo,1,US,1586642223,69,19.73,-155.09,80.6,8.05
53,Marsá Maţrūḩ,0,EG,1586642460,73,31.35,27.25,60.67,5.88
54,Bambous Virieux,40,MU,1586642182,83,-20.34,57.76,78.01,11.41
55,Saskylakh,19,RU,1586642462,90,71.92,114.08,0.82,14.94
56,San Quintín,9,MX,1586642463,65,30.48,-115.95,62.71,16.91
57,Tazovsky,100,RU,1586642465,95,67.47,78.7,33.93,17.11
58,Petropavlovsk-Kamchatskiy,70,RU,1586642466,68,53.05,158.65,30.2,4.47
59,Bengkulu,37,ID,1586642467,81,-3.8,102.27,78.55,3.58
60,Chifeng,0,CN,1586642468,43,42.27,118.96,41.54,7.16
61,Longyearbyen,20,SJ,1586642469,70,78.22,15.64,-5.8,3.36
62,Grindavik,40,IS,1586642471,80,63.84,-22.43,41.0,13.87
63,San Miguel de Tucumán,40,AR,1586642472,47,-26.82,-65.22,78.8,11.41
64,Huejuquilla el Alto,83,MX,1586642473,13,22.6,-103.87,80.71,26.13
65,Flinders,0,AU,1586642474,57,-34.58,150.86,57.0,12.75
66,Alofi,97,NU,1586642464,65,-19.06,-169.92,82.4,10.29
67,Bunbury,100,AU,1586642477,69,-33.33,115.63,71.01,6.38
68,Sinop Province,94,TR,1586642479,69,41.77,34.87,40.8,5.14
69,Alim,60,PH,1586642480,73,9.56,122.49,78.15,4.23
70,Bålsta,100,SE,1586642481,60,59.57,17.53,44.6,10.29
71,Butaritari,95,KI,1586642484,76,3.07,172.79,83.98,13.35
72,São Filipe,86,CV,1586642312,73,14.9,-24.5,75.61,12.48
73,Bredasdorp,100,ZA,1586642271,56,-34.53,20.04,71.6,17.22
74,Faya,44,SA,1586642488,55,18.39,42.45,66.2,1.81
75,Torbay,75,CA,1586642489,59,47.67,-52.73,37.4,29.97
76,Thinadhoo,0,MV,1586642491,61,0.53,72.93,84.15,3.91
77,Punta Arenas,65,CL,1586642460,61,-53.15,-70.92,48.2,14.99
78,Bundaberg,45,AU,1586642405,72,-24.85,152.35,68.0,6.26
79,Shimoda,75,JP,1586642495,87,34.67,138.95,51.01,3.36
80,Port Lincoln,81,AU,1586642391,64,-34.73,135.87,56.75,7.05
81,Te Anau,56,NZ,1586642497,67,-45.42,167.72,55.45,5.06
82,Walvis Bay,0,NA,1586642364,73,-22.96,14.51,73.0,7.9
83,Hobart,75,AU,1586642356,57,-42.88,147.33,52.0,13.87
84,Paita,57,PE,1586642501,57,-5.09,-81.11,81.25,16.22
85,La Ronge,75,CA,1586642502,52,55.1,-105.28,19.4,18.34
86,Geraldton,75,AU,1586642504,100,-28.77,114.6,66.2,3.36
87,Ürümqi,70,CN,1586642505,49,43.8,87.6,48.2,4.47
88,Berlevåg,79,NO,1586642210,90,70.86,29.09,25.02,3.24
89,Tiksi,37,RU,1586642311,93,71.69,128.87,13.08,17.74
90,Guerrero Negro,10,MX,1586642401,49,27.98,-114.06,67.06,17.31
91,Nikolskoye,5,RU,1586642510,92,59.7,30.79,28.4,2.24
92,Port-Gentil,100,GA,1586642276,87,-0.72,8.78,78.13,11.99
93,Ilulissat,100,GL,1586642513,68,69.22,-51.1,30.2,5.82
94,Jinxiang,39,CN,1586642514,74,22.86,115.7,63.37,14.67
95,Kismayo,100,SO,1586642515,76,-0.36,42.55,83.73,7.85
96,Bethel,20,US,1586642516,25,41.37,-73.41,55.0,8.05
97,Nome,40,US,1586642518,86,64.5,-165.41,28.4,10.29
98,Castro,13,BR,1586642519,66,-24.79,-50.01,60.94,2.33
99,Kawalu,12,ID,1586642520,79,-7.38,108.21,72.54,1.36
100,Chui,33,UY,1586642487,66,-33.7,-53.46,65.95,7.0
101,Kaeo,73,NZ,1586642283,94,-35.1,173.78,66.0,8.01
102,Sørland,100,NO,1586642524,78,67.67,12.69,35.38,12.19
103,Port Hardy,5,CA,1586642525,53,50.7,-127.42,51.8,4.7
104,Chiang Rai,82,TH,1586642409,73,19.91,99.83,77.0,1.12
105,Elizabeth City,1,US,1586642527,25,36.29,-76.25,64.4,10.29
106,Dingle,10,PH,1586642354,78,11.0,122.67,76.33,5.44
107,Barrow,90,US,1586642530,84,71.29,-156.79,8.6,11.41
108,Saldanha,98,ZA,1586642531,88,-33.01,17.94,62.6,12.75
109,Mt. Pleasant,1,US,1586642532,45,32.79,-79.86,71.6,8.05
110,Kitsuki,75,JP,1586642534,100,33.42,131.62,50.0,9.17
111,West Fargo,90,US,1586642535,64,46.88,-96.9,39.2,18.34
112,Cape Town,75,ZA,1586642377,93,-33.93,18.42,64.99,19.46
113,Kaili,100,ID,1586642537,71,-3.46,120.21,71.6,4.18
114,Alnashi,100,RU,1586642539,69,56.19,52.48,41.72,8.84
115,Portree,100,GB,1586642540,86,57.41,-6.19,45.0,4.0
116,Meïganga,100,CM,1586642541,64,6.52,14.3,66.36,0.87
117,Royan,55,FR,1586642542,51,45.63,-1.03,60.8,2.24
118,Umluj,1,SA,1586642544,51,25.02,37.27,69.55,7.45
119,Diego de Almagro,45,CL,1586642545,18,-26.37,-70.05,75.29,10.11
120,Sępólno Krajeńskie,100,PL,1586642546,36,53.45,17.53,45.0,8.05
121,Labuhan,57,ID,1586642547,85,-6.88,112.21,76.96,3.91
122,Balgazyn,93,RU,1586642549,64,51.0,95.2,35.96,0.72
123,Ambilobe,0,MG,1586642550,84,-13.2,49.05,73.67,4.72
124,Avarua,96,CK,1586642551,84,-21.21,-159.78,86.0,5.82
125,Gravdal,100,NO,1586642552,80,68.12,13.5,35.2,8.57
126,Ust'-Barguzin,100,RU,1586642554,69,53.45,108.98,35.06,2.46
127,Pevek,62,RU,1586642555,91,69.7,170.31,6.39,13.24
128,Esperance,98,AU,1586642556,60,-33.87,121.9,69.8,18.34
129,Cercal,49,PT,1586642557,89,37.81,-8.67,59.0,8.01
130,Hasaki,75,JP,1586642504,93,35.73,140.83,46.4,10.29
131,Winnemucca,20,US,1586642560,25,40.97,-117.74,64.4,15.48
132,Mossamedes,0,AO,1586642561,61,-15.2,12.15,77.59,3.62
